"dataset"	"genes"
"oncogenes"	"ABI1,CDH11,AKAP9,LHFP,CDK4,CDK6,OLIG2,GPHN,FSTL3,IKZF1,TFG,NDRG1,CDX2,NCOA2,CEBPA,SLC34A2,SEPT9,MALT1,MLLT11,CLP1,CNTRL,FGFR1OP,PSIP1,WIF1,CHN1,RMI2,LRIG3,CLTC,MSI2,CANT1,COL1A1,COX6C,CREB1,CREBBP,VTI1A,FLJ27352,CTNNB1,TTL,DDIT3,DDX5,DDX6,DDX10,ZNF384,EBF1,EGFR,EIF4A2,ELF4,ELK4,ELN,EPS15,ERBB2,AKT1,ERG,AKT2,ETV1,ETV4,ETV5,ETV6,MECOM,EWSR1,ALDH2,ACSL3,FCGR2B,JAZF1,FGFR1,FGFR3,FGFR2,FHIT,DUX4,FNBP1,FOXO1,ERC1,FOXO3,ARHGAP26,FLI1,SEPT6,FLT3,CAMTA1,ACSL6,ARHGEF12,CRTC1,SF3B1,HEY1,BRD4,SUZ12,KAT6B,PATZ1,ALK,ABL1,FUS,KDSR,C15orf55,ZNF521,WWTR1,SS18L1,SETBP1,GATA1,GATA2,CHIC2,ABL2,FOXP1,AFF4,EML4,GNA11,GNAQ,GNAS,P2RY8,CD274,TFPT,TLX3,H3F3A,HIP1,MNX1,HLF,HMGA1,FOXA1,HNRNPA2B1,TLX1,HOXA9,HOXA11,HOXA13,HOXC11,HOXC13,HOXD11,HOXD13,HRAS,BIRC3,HSP90AA1,HSP90AB1,IDH1,IDH2,IL2,IL6ST,IL7R,IRF4,ITK,JAK1,JAK2,JAK3,JUN,KCNJ5,KDR,KIF5B,KIT,KLK2,KRAS,KTN1,AFF3,LASP1,LCK,LCP1,LIFR,RHOH,LMO1,LMO2,LPP,ARNT,LYL1,MAF,MDM2,MDM4,MET,CIITA,MITF,MLF1,MLL,MLLT1,AFF1,MLLT3,MLLT4,MLLT6,FOXO4,MN1,MPL,MSN,MTCP1,MUC1,MYB,MYC,MYCL1,MYCN,MYD88,MYH9,MYH11,ATF1,NACA,ATIC,ATP1A1,NFE2L2,NFIB,NFKB2,NONO,CNOT3,NOTCH1,NOTCH2,NPM1,NRAS,NTRK1,NTRK3,ATP2B3,NUMA1,NUP98,OMD,PAFAH1B2,IL21R,PAX3,PAX5,PAX7,PBX1,PCM1,NIN,NCKIPSD,PDGFB,PDGFRA,PDGFRB,TRIM33,PER1,PIK3CA,PIM1,PLAG1,BCL11A,PML,PRRX1,SEPT5,POU2AF1,POU5F1,PPARG,FEV,WHSC1L1,PPP2R1A,ZNF331,PRCC,PRKAR1A,MAP2K1,MAP2K2,CXCR7,CASC5,GOPC,MKL1,KIAA1549,RNF213,PTPN11,CCNB1IP1,RAC1,RAD51B,RAF1,RALGDS,RAP1GDS1,RARA,KDM5A,CCND1,BCL2,REL,RET,TRIM27,BCL3,BCL6,BCL7A,BCL9,TNFRSF17,ROS1,BCR,RPL22,RPN1,SDC4,PRDM16,CRLF2,SET,SFPQ,SRSF2,SRSF3,NSD1,SH3GL1,CREB3L2,RBM15,CRTC3,RANBP17,STIL,BCL11B,SMO,SOX2,FOXL2,BRAF,SSX1,SSX2,SSX4,SS18,STAT3,STAT5B,SYK,TAL1,TAL2,TCEA1,TCF3,TCF7L2,TCF12,BTG1,TERT,TFE3,TFRC,NKX2-1,TMPRSS2,TOP1,TPM3,TPM4,TPR,TSHR,FAM22A,FAM22B,U2AF1,EZR,WHSC1,XPO1,YWHAE,CNBP,ZBTB16,ZMYM2,CACNA1D,PAX8,ASPSCR1,DEK,CHCHD7,TFEB,KAT6A,NR4A3,BRD3,NUP214,MLLT10,CCDC6,C2orf44,NCOA4,TET1,PDCD1LG2,HMGA2,CALR,TCL1A,TAF15,FIP1L1,ELL,CLTCL1,HIST1H4I,TRRAP,PICALM,CARS,FCRL4,HIST1H3B,TRAF7,HOOK3,CARD11,MAML2,GAS7,SLC45A3,RUNX1,RUNX1T1,CBFA2T3,NCOA1,CBFB,CBL,TRIM24,GMPS,BCL10,CCND2,CCND3,CCNE1,USP6,CREB3L1,RABEP1,PCSK7,SNX29,SPECC1,KLF4,TRIP11,PDE4DIP,HERPUD1,CD74,CD79A,CD79B,SRGAP3,MAFB,GOLGA5,THRAP3,MED12"
"tumorsuppressors"	"SH2B3,CDKN2A,CDKN2C,IKZF1,STAG2,CHEK2,KLF6,CREBBP,FAM123B,CYLD,DAXX,DDB2,ASXL1,DNM2,DNMT3A,ARID2,FLCN,EP300,ERCC2,ERCC3,ERCC4,ERCC5,EXT1,EXT2,EZH2,FANCA,FANCC,FANCD2,FANCE,FANCF,FANCG,FH,CIC,DICER1,CBLC,GATA3,GPC3,SETD2,MSH6,APC,ECT2L,FAS,SMAD4,MEN1,MLH1,MSH2,MUTYH,NBN,ATM,NF1,NF2,SBDS,SUFU,CDK12,PIK3R1,PMS1,PMS2,ATRX,TET2,FAM46C,BCOR,RNF43,SDHAF2,PBRM1,FBXW7,PRF1,PRKAR1A,PTCH1,PTEN,MLL3,RB1,PRDM1,SDHB,SDHC,SDHD,BLM,MAP2K4,BMPR1A,SMARCA4,SMARCB1,BRCA1,BRCA2,STK11,HNF1A,BUB1B,TNFAIP3,TP53,TSC1,TSC2,KDM6A,VHL,WAS,WRN,WT1,XPA,XPC,CDC73,PALB2,FBXO11,MLL2,ZRSR2,KDM5C,ARID1A,AXIN1,BAP1,BRIP1,CASP8,PHF6,SOCS1,CBL,CBLB,TNFRSF14,FUBP1,PHOX2B,RECQL4,CDH1"
